127.0.0.1, 2020-09-27 16:42:00, GET, /, HTTP/1.1, 303, 0.002998
127.0.0.1, 2020-09-27 16:42:07, GET, /welcome/default/index, HTTP/1.1, 200, 7.651887
127.0.0.1, 2020-09-27 16:42:08, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001998
127.0.0.1, 2020-09-27 16:42:08, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2020-09-27 16:42:08, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000999
127.0.0.1, 2020-09-27 16:42:08, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002999
127.0.0.1, 2020-09-27 16:42:08, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-09-27 16:42:08, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2020-09-27 16:42:08, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002001
127.0.0.1, 2020-09-27 16:42:08, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002999
127.0.0.1, 2020-09-27 16:42:08, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-09-27 16:42:11, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2020-09-27 16:42:14, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2020-09-27 16:42:25, GET, /admin/default/index, HTTP/1.1, 200, 0.644601
127.0.0.1, 2020-09-27 16:42:25, GET, /admin/static/_2.20.4/css/calendar.css, HTTP/1.1, 200, 0.014991
127.0.0.1, 2020-09-27 16:42:26, GET, /admin/static/_2.20.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.012992
127.0.0.1, 2020-09-27 16:42:26, GET, /admin/static/_2.20.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.012992
127.0.0.1, 2020-09-27 16:42:26, GET, /admin/static/_2.20.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.021985
127.0.0.1, 2020-09-27 16:42:26, GET, /admin/static/_2.20.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.024983
127.0.0.1, 2020-09-27 16:42:26, GET, /admin/static/_2.20.4/js/calendar.js, HTTP/1.1, 200, 0.084947
127.0.0.1, 2020-09-27 16:42:26, GET, /admin/static/_2.20.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.036978
127.0.0.1, 2020-09-27 16:42:26, GET, /admin/static/_2.20.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.031980
127.0.0.1, 2020-09-27 16:42:26, GET, /admin/static/_2.20.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.033979
127.0.0.1, 2020-09-27 16:42:26, GET, /admin/static/_2.20.4/js/web2py.js, HTTP/1.1, 200, 0.118927
127.0.0.1, 2020-09-27 16:42:26, GET, /admin/static/_2.20.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.043973
127.0.0.1, 2020-09-27 16:42:26, GET, /admin/static/_2.20.4/js/jquery.js, HTTP/1.1, 200, 0.162899
127.0.0.1, 2020-09-27 16:42:26, GET, /admin/static/_2.20.4/images/questions.png, HTTP/1.1, 200, 0.012992
127.0.0.1, 2020-09-27 16:42:26, GET, /admin/static/_2.20.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.065959
127.0.0.1, 2020-09-27 16:42:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-09-27 16:42:31, POST, /admin/default/index, HTTP/1.1, 303, 0.108043
127.0.0.1, 2020-09-27 16:42:31, GET, /admin/default/site, HTTP/1.1, 200, 0.089945
127.0.0.1, 2020-09-27 16:42:31, GET, /admin/static/_2.20.4/images/folder_locked.png, HTTP/1.1, 200, 0.009994
127.0.0.1, 2020-09-27 16:42:31, GET, /admin/static/_2.20.4/images/folder.png, HTTP/1.1, 200, 0.009994
127.0.0.1, 2020-09-27 16:42:31, GET, /admin/static/_2.20.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.009994
127.0.0.1, 2020-09-27 16:42:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2020-09-27 16:42:47, POST, /admin/default/check_version, HTTP/1.1, 200, 15.905291
127.0.0.1, 2020-09-27 16:42:56, POST, /admin/default/site, HTTP/1.1, 303, 0.237854
127.0.0.1, 2020-09-27 16:42:57, GET, /admin/default/design/movies, HTTP/1.1, 200, 0.690571
127.0.0.1, 2020-09-27 16:42:57, GET, /admin/static/_2.20.4/images/search.png, HTTP/1.1, 200, 0.026983
127.0.0.1, 2020-09-27 16:42:57, GET, /admin/static/_2.20.4/images/test_icon.png, HTTP/1.1, 200, 0.010993
127.0.0.1, 2020-09-27 16:42:57, GET, /admin/static/_2.20.4/images/delete_icon.png, HTTP/1.1, 200, 0.012991
127.0.0.1, 2020-09-27 16:42:58, GET, /admin/static/_2.20.4/images/help.png, HTTP/1.1, 200, 0.007992
127.0.0.1, 2020-09-27 16:42:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-09-27 16:58:42, GET, /movies/default/call/json/myapi, HTTP/1.1, 200, 4.213525
127.0.0.1, 2020-09-27 16:58:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2020-09-27 17:07:00, GET, /movies/static/test.html, HTTP/1.1, 404, 0.000000
127.0.0.1, 2020-09-27 17:07:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-09-27 17:07:50, GET, /movies/static/test.html, HTTP/1.1, 200, 0.276533
127.0.0.1, 2020-09-27 17:07:50, GET, /movies/static/test_files/axios.js.download, HTTP/1.1, 200, 0.068978
127.0.0.1, 2020-09-27 17:07:50, GET, /movies/static/test_files/jquery-3.4.1.min.js.download, HTTP/1.1, 200, 0.284343
127.0.0.1, 2020-09-27 17:07:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-09-27 17:07:51, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 404, 0.100937
127.0.0.1, 2020-09-27 17:08:08, GET, /movies/static/test.html, HTTP/1.1, 304, 0.000000
127.0.0.1, 2020-09-27 17:08:08, GET, /movies/static/test_files/jquery-3.4.1.min.js.download, HTTP/1.1, 304, 0.001000
127.0.0.1, 2020-09-27 17:08:08, GET, /movies/static/test_files/axios.js.download, HTTP/1.1, 304, 0.000998
127.0.0.1, 2020-09-27 17:08:08, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 404, 0.017987
127.0.0.1, 2020-09-27 17:08:09, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2020-09-27 17:19:19, GET, /movies/static/test.html, HTTP/1.1, 304, 0.000000
127.0.0.1, 2020-09-27 17:19:19, GET, /movies/static/test_files/jquery-3.4.1.min.js.download, HTTP/1.1, 304, 0.001001
127.0.0.1, 2020-09-27 17:19:19, GET, /movies/static/test_files/axios.js.download, HTTP/1.1, 304, 0.001001
127.0.0.1, 2020-09-27 17:19:19, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 404, 0.017989
127.0.0.1, 2020-09-27 17:19:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2020-09-27 17:20:40, GET, /movies/static/test.html, HTTP/1.1, 304, 0.001998
127.0.0.1, 2020-09-27 17:20:41, GET, /movies/static/test_files/jquery-3.4.1.min.js.download, HTTP/1.1, 304, 0.001998
127.0.0.1, 2020-09-27 17:20:41, GET, /movies/static/test_files/axios.js.download, HTTP/1.1, 304, 0.000999
127.0.0.1, 2020-09-27 17:20:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2020-09-27 17:20:42, GET, /movies/static/test.html, HTTP/1.1, 304, 0.001000
127.0.0.1, 2020-09-27 17:20:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2020-09-27 17:21:07, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 24.266612
127.0.0.1, 2020-09-27 17:21:07, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 26.205549
127.0.0.1, 2020-09-27 17:22:23, GET, /admin/default/design/movies, HTTP/1.1, 200, 0.588277
127.0.0.1, 2020-09-27 17:22:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-09-27 17:39:55, GET, /movies/static/test.html, HTTP/1.1, 200, 0.001998
127.0.0.1, 2020-09-27 17:39:55, GET, /movies/static/test_files/jquery-3.4.1.min.js.download, HTTP/1.1, 200, 0.000998
127.0.0.1, 2020-09-27 17:39:55, GET, /movies/static/test_files/axios.js.download, HTTP/1.1, 200, 0.000998
127.0.0.1, 2020-09-27 17:39:55, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 0.250844
127.0.0.1, 2020-09-27 17:39:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-09-27 18:14:44, GET, /movies/static/movies/index.html, HTTP/1.1, 200, 9.201081
127.0.0.1, 2020-09-27 18:14:48, GET, /movies/static/movies/vendor/bootstrap/css/bootstrap.min.css, HTTP/1.1, 200, 0.031982
127.0.0.1, 2020-09-27 18:14:49, GET, /movies/static/movies/vendor/custom.css, HTTP/1.1, 200, 0.041975
127.0.0.1, 2020-09-27 18:14:49, GET, /movies/static/movies/vendor/loadash.js, HTTP/1.1, 200, 0.057963
127.0.0.1, 2020-09-27 18:14:49, GET, /movies/static/movies/vendor/vue-ratings.js, HTTP/1.1, 200, 0.041975
127.0.0.1, 2020-09-27 18:14:49, GET, /movies/static/movies/vendor/vue.js, HTTP/1.1, 200, 0.834738
127.0.0.1, 2020-09-27 18:14:50, GET, /movies/static/movies/vendor/jquery.min.js, HTTP/1.1, 200, 1.305222
127.0.0.1, 2020-09-27 18:14:51, GET, /movies/static/movies/vendor/bootstrap/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.986487
127.0.0.1, 2020-09-27 18:14:54, GET, /movies/static/movies/vendor/axios.min.js, HTTP/1.1, 200, 5.206252
127.0.0.1, 2020-09-27 18:14:57, GET, /movies/static/movies/movies.json, HTTP/1.1, 200, 0.006999
127.0.0.1, 2020-09-27 18:14:59, GET, /favicon.ico, HTTP/1.1, 400, 0.001997
127.0.0.1, 2020-09-27 18:15:09, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.005997
